English,Suggested definition in English,Suggested Mandarin translation,Meaning of Mandarin translation,Comments
Hazard,"The potential occurrence of a natural or human-induced physical event or trend that may cause loss of life, injury, or other health impacts, as well as damage and loss to property, infrastructure, livelihoods, service provision, ecosystems and environmental resources.",灾害,自然产生或人为造成的可能产生人员伤亡和财产损失的事件,Used in Arup's city tool. IPCC SR1.5. Proofreading: changed from: 致灾因子
Impacts,"The consequences of realized risks on natural and human systems, where risks result from the interactions of climate-related hazards (including extreme weather and climate events), exposure, and vulnerability. ",影响,极端天气现象或气候事件对人类社会生产生活产生的影响,"Used in Arup's city tool. IPCC SR1.5

Impacts generally refer to effects on lives; livelihoods; health and well-being; ecosystems and species; economic, social and cultural assets; services (including ecosystem services); and infrastructure. Impacts may be referred to as consequences or outcomes, and can be adverse or beneficial."
Infrastructure system,,基建系统,国民经济各部门为增加固定资产面进行的建筑、购置和安装工作的总称,From Arup's city tool
Primary hazard,,主要致灾因子,主要致灾因子,From Arup's city tool
Primary impacts,,主要影响,极端天气现象或气候事件对人类社会生产生活产生的主要影响,From Arup's city tool
Representative Concentration Pathway (RCP),"Scenarios that include time series of emissions and concentrations of the full suite of greenhouse gases (GHGs) and aerosols and chemically active gases, as well as land use/land cover (Moss et al., 2008)",代表性浓度路径,一组包括了所有温室气体、气溶胶和化学活性气体 排放和浓度时间序列，以及土地利用/土地覆盖状况的情景,"From Arup's city tool. IPCCSR1.5

The word representative signifies that each RCP provides only one of many possible scenarios that would lead to the specific radiative forcing characteristics. The term pathway emphasizes the fact that not only the long-term concentration levels but also the trajectory taken over time to reach that outcome are of interest (Moss et al., 2010). RCPs were used to develop climate projections in CMIP5."
Shared Socioeconomic Pathway (SSP),"Shared Socio-economic Pathways (SSPs) were developed to complement the RCPs with varying socio-economic challenges to adaptation and mitigation (O’Neill et al., 2014)",共享社会经济路径,反应辐射强波和社会经济发展的关联,"From Arup's city tool. IPCCSR1.5

Based on five narratives, the SSPs describe alternative socio-economic futures in the absence of climate policy intervention, comprising sustainable development (SSP1), regional rivalry (SSP3), inequality (SSP4), fossil–fuelled development (SSP5) and middle-of-the-road development (SSP2) (O’Neill, 2000; O’Neill et al., 2017; Riahi et al., 2017). The combination of SSP-based socio-economic scenarios and Representative Concentration Pathway (RCP)-based climate projections provides an integrative frame for climate impact and policy analysis."
Risk,The potential for adverse consequences where something of value is at stake and where the occurrence and degree of an outcome is uncertain.,风险,气候相关危害与人类和自然系统的暴露度和脆弱性相互作用而产生不良后果的可能,"Used in Arup's city tool. IPCC SR1.5

In the context of the assessment of climate impacts, the term risk is often used to refer to the potential for adverse consequences of a climate-related hazard, or of adaptation or mitigation responses to such a hazard, on lives, livelihoods, health and well-being, ecosystems and species, economic, social and cultural assets, services (including ecosystem services), and infrastructure. Risk results from the interaction of vulnerability (of the affected system), its exposure over time (to the hazard), as well as the (climate-related) hazard and the likelihood of its occurrence."
Risk Acceptability,The predisposition to accept the risk,风险的可接受性,对于某气候风险的可接受度,From Arup's city tool
Secondary hazard,,次级致灾因子,居第二位的致灾因子,"From Arup's city tool. Proofreading: change to 次生灾害 if you mean hazard that is caused by primary hazard as ""secondary"" in secondary organic pollution. If it just means ""secondary"", then keep translation as it is. So is the case with secondary impacts."
Secondary impacts,,次级影响,居第二位的气候影响,"From Arup's city tool. Proofreading: change to 次生灾害 if you mean hazard that is caused by primary hazard as ""secondary"" in secondary organic pollution. If it just means ""secondary"", then keep translation as it is. So is the case with secondary impacts."
Sensitivity,,敏感性,某事件或变量对控制因子的响应程度,From Arup's city tool
Error,Difference from exact true number,误差,测量结果偏离真值的程度,"avoid using mistake, wrong, incorrect in definition"
Positive Trend,Upward trend,正（向）趋势,变量随时间正向变化,could be mistaken for 'fashion'. Avoid 'good trend'
Positive Feedback,Self-reinforcing cycle,正（向）反馈,两变量呈互相促进的发展变化关系,"avoid using good response, praise in definition"
Scheme,Systematic plan,方案,较系统的实施计划,could be mistaken for 'devious plot'
Anomaly,Change from long term average,异常,较长期平均值的差异,avoid 'abnormal occurrence'
Values,"Numbers, quantity",数值,数值,"could be mistaken for ethics, monetary value"
Sign,Plus or minus sign,正负号,数学定义上的正值与负值,could be mistaken for indication or astrological sign
Theory,Scientific understanding,理论,对某一事物或现象的系统性认知,could be mistaken or hunch or speculation
Enhance,"Intensify, increase",增强 或 增加,某气候或天气系统增强或某测量值增加,avoid 'improve'
Bias,,偏差,,could be mistaken for political bias of media
Trough (eg of low pressure),,（低压）槽,,was once (20 years ago) mistakenly translated as a pig trough in a forecast 
Zonal (ie westerly) wind,, ,,
Meridional (ie southerly) wind,,经向风,,Is sometimes confused with the Greenwich meridian - and mistakenly interpreted as the westerly wind
Front (eg cold front),,锋面（如冷锋）,,
Drought,,干旱,,"Need to be careful if using ""drought"" to describe a short break within the wet season. Better to describe ""pause"" in the rainfall."
Low pressure,,低压,,"Need to be careful of inadvertently interpreting a local reduction in the high pressure during the winter., as a low pressure centre"
Chaos,,混沌,,
Correlation (formal statistical definition),,相关,,
Correlation (as opposed to causality),, ,,
Causality,,因果关系,,
Reliability (formal statistical definition),,可靠性,,
Compound events,,,,
CSSP China,, 气候科学支持服务伙伴关系计划中国项目    ,,
Normal,,,,
Users,,,,
Flood,,,,
Extreme,,,,
Forecast/Outlook,,,,
Climate,,,,
Projection,,,,
Risk,,,,
Hindcast,,,,
Percentiles,,,,
